week_number,2018,2019,2020,2021,2022,2023,2024,2025
1,18,0,0,0,0,1,4,0.0
2,21,33,1,0,0,2,6,2.0
3,28,60,4,0,0,2,8,12.0
4,28,101,6,0,0,2,13,39.0
5,28,142,10,0,1,2,16,65.0
6,29,166,11,0,1,2,30,129.0
7,30,207,11,0,2,3,39,208.0
8,32,224,12,0,2,3,45,282.0
9,37,259,12,0,2,4,48,359.0
10,42,302,12,0,2,5,60,451.0
11,50,357,12,0,2,6,98,550.0
12,57,463,12,0,2,7,107,642.0
13,62,547,12,0,2,8,117,752.0
14,69,648,12,1,2,10,121,843.0
15,77,717,12,1,2,10,124,910.0
16,86,793,12,2,2,10,128,960.0
17,92,845,12,2,2,11,128,1007.0
18,99,918,12,2,2,11,132,1053.0
19,100,948,12,2,3,13,137,1075.0
20,102,994,12,2,3,15,142,1111.0
21,104,1041,12,2,3,17,148,1143.0
22,104,1071,12,2,3,18,148,1170.0
23,106,1090,12,2,5,18,152,1177.0
24,109,1112,12,2,6,18,156,
25,112,1121,12,2,6,18,159,
26,117,1132,12,2,6,18,166,
27,120,1144,12,2,6,18,179,
28,130,1165,12,2,6,18,190,
29,132,1176,12,2,6,20,197,
30,134,1182,12,2,6,20,209,
31,145,1192,12,2,6,21,216,
32,147,1200,12,2,8,21,225,
33,153,1209,12,2,10,22,233,
34,156,1211,12,2,12,22,244,
35,158,1213,12,4,14,22,254,
36,158,1213,12,9,16,25,257,
37,159,1216,12,22,20,26,260,
38,159,1217,12,26,24,31,261,
39,161,1219,12,43,26,36,263,
40,162,1223,12,44,28,37,264,
41,177,1230,12,47,30,38,267,
42,188,1232,12,47,31,38,268,
43,227,1235,12,47,37,40,271,
44,245,1236,13,47,48,41,275,
45,291,1239,13,47,57,41,278,
46,311,1244,13,47,66,41,278,
47,342,1244,13,47,91,41,280,
48,359,1244,13,47,102,43,280,
49,372,1244,13,47,113,45,280,
50,380,1248,13,47,118,48,280,
51,384,1249,13,47,121,59,281,
52,400,1250,13,47,121,63,282,
