date,total,twoweek
1/5/25,2,0
1/12/25,3,0
1/19/25,11,0
1/26/25,27,0
2/2/25,52,0
2/9/25,117,0
2/16/25,202,0
2/23/25,272,0
3/2/25,355,0
3/9/25,424,0
3/16/25,509,0
3/23/25,580,0
3/30/25,606,0
4/12/25,673,0
4/14/25,732,0
4/15/25,752,0
4/17/25,766,0
4/18/25,831,0
4/25/25,869,0
5/1/25,931,0
5/5/25,941,111
5/6/25,969,140
5/12/25,1008,100
5/21/25,1031,81
5/23/25,1067,63
5/27/2025,1074,58
5/27/2025,1087,66
5/28/2025,1094,65
5/28/2025,1094,65
5/28/2025,1094,65
5/28/2025,1094,65
5/30/2025,1125,87
5/30/2025,1125,87
5/30/2025,1125,87
5/30/2025,1126,85
5/30/2025,1126,85
6/2/2025,1126,84
6/2/2025,1126,84
6/3/2025,1145,89
6/3/2025,1145,89
6/3/2025,1151,96
6/3/2025,1151,96
6/6/2025,1155,74
6/6/2025,1155,74
6/6/2025,1159,79
6/6/2025,1159,79
6/9/2025,1164,79
6/9/2025,1164,79
6/9/2025,1164,79
6/9/2025,1164,78
6/9/2025,1164,78
6/9/2025,1167,81
6/9/2025,1167,81
6/10/2025,1171,77
6/10/2025,1171,77
6/10/2025,1177,83
6/10/2025,1177,83
6/13/2025,1187,61
6/13/2025,1187,61
6/17/2025,1199,45
6/17/2025,1199,45
6/18/2025,1201,45
6/18/2025,1201,45
2025-06-20,1208,41
06/20/2025,1208,41
06/20/2025,1208,41
06/20/2025,1208,41
06/20/2025,1208,41
06/20/2025,1208,41
06/20/2025,1208,41
6/24/2025,1218,38
6/24/2025,1218,38
6/26/2025,1229,37
6/26/2025,1229,37
6/27/2025,1237,43
6/27/2025,1237,43
7/1/2025,1257,51
7/1/2025,1257,51
7/2/2025,1265,56
7/2/2025,1265,56
7/3/2025,1268,55
7/3/2025,1268,55
7/5/2025,1274,57
7/5/2025,1274,57
7/7/2025,1277,57
7/7/2025,1277,57
7/7/2025,1281,61
7/7/2025,1281,61
